year,region,family_houses,apartments,regions_base,name_base
2006,Česká republika,100.0,100.0,Ceska republika,CZ
2006,Hlavní město Praha,100.0,100.0,Hlavni mesto Praha,Praha
2006,Středočeský kraj,100.0,100.0,Stredocesky kraj,Stredocesky
2006,Jihočeský kraj,100.0,100.0,Jihocesky kraj,Jihocesky
2006,Plzeňský kraj,100.0,100.0,Plzensky kraj,Plzensky
2006,Karlovarský kraj,100.0,100.0,Karlovarsky kraj,Karlovarsky
2006,Ústecký kraj,100.0,100.0,Ustecky kraj,Ustecky
2006,Liberecký kraj,100.0,100.0,Liberecky kraj,Liberecky
2006,Královéhradecký kraj,100.0,100.0,Kralovehradecky kraj,Kralovehradecky
2006,Pardubický kraj,100.0,100.0,Pardubicky kraj,Pardubicky
2006,Kraj Vysočina,100.0,100.0,Kraj Vysocina,Vysocina
2006,Jihomoravský kraj,100.0,100.0,Jihomoravsky kraj,Jihomoravsky
2006,Olomoucký kraj,100.0,100.0,Olomoucky kraj,Olomoucky
2006,Zlínský kraj,100.0,100.0,Zlinsky kraj,Zlinsky
2006,Moravskoslezský kraj,100.0,100.0,Moravskoslezsky kraj,Moravskoslezsky
2007,Česká republika,112.19047619047618,131.18081180811805,Ceska republika,CZ
2007,Hlavní město Praha,109.09990108803166,128.28947368421052,Hlavni mesto Praha,Praha
2007,Středočeský kraj,113.77649325626204,133.2420091324201,Stredocesky kraj,Stredocesky
2007,Jihočeský kraj,112.29050279329607,125.5460588793922,Jihocesky kraj,Jihocesky
2007,Plzeňský kraj,109.99030067895248,127.1559633027523,Plzensky kraj,Plzensky
2007,Karlovarský kraj,110.6115107913669,126.47342995169082,Karlovarsky kraj,Karlovarsky
2007,Ústecký kraj,112.75992438563327,125.09727626459143,Ustecky kraj,Ustecky
2007,Liberecký kraj,114.38095238095237,141.2625800548948,Liberecky kraj,Liberecky
2007,Královéhradecký kraj,111.6883116883117,138.13405797101447,Kralovehradecky kraj,Kralovehradecky
2007,Pardubický kraj,112.85024154589371,128.89273356401384,Pardubicky kraj,Pardubicky
2007,Kraj Vysočina,110.83650190114068,129.07735321528426,Kraj Vysocina,Vysocina
2007,Jihomoravský kraj,114.06844106463879,133.7230215827338,Jihomoravsky kraj,Jihomoravsky
2007,Olomoucký kraj,110.40723981900453,139.40795559666975,Olomoucky kraj,Olomoucky
2007,Zlínský kraj,111.52737752161383,137.39982190561,Zlinsky kraj,Zlinsky
2007,Moravskoslezský kraj,117.24806201550388,137.04363312555657,Moravskoslezsky kraj,Moravskoslezsky
2008,Česká republika,124.47619047619045,153.59778597785976,Ceska republika,CZ
2008,Hlavní město Praha,121.46389713155291,148.77819548872182,Hlavni mesto Praha,Praha
2008,Středočeský kraj,126.78227360308284,153.15068493150682,Stredocesky kraj,Stredocesky
2008,Jihočeský kraj,120.85661080074487,144.2545109211776,Jihocesky kraj,Jihocesky
2008,Plzeňský kraj,121.92046556741029,152.2935779816514,Plzensky kraj,Plzensky
2008,Karlovarský kraj,124.19064748201438,148.1159420289855,Karlovarsky kraj,Karlovarsky
2008,Ústecký kraj,129.86767485822307,143.57976653696497,Ustecky kraj,Ustecky
2008,Liberecký kraj,123.61904761904762,162.76303751143644,Liberecky kraj,Liberecky
2008,Královéhradecký kraj,122.44897959183675,156.06884057971013,Kralovehradecky kraj,Kralovehradecky
2008,Pardubický kraj,122.31884057971014,151.12456747404843,Pardubicky kraj,Pardubicky
2008,Kraj Vysočina,119.20152091254754,154.7996272134203,Kraj Vysocina,Vysocina
2008,Jihomoravský kraj,124.71482889733839,155.2158273381295,Jihomoravsky kraj,Jihomoravsky
2008,Olomoucký kraj,127.33031674208144,166.69750231267344,Olomoucky kraj,Olomoucky
2008,Zlínský kraj,128.43419788664744,161.4425645592164,Zlinsky kraj,Zlinsky
2008,Moravskoslezský kraj,134.10852713178295,175.3339269813001,Moravskoslezsky kraj,Moravskoslezsky
2009,Česká republika,123.04761904761904,134.68634686346863,Ceska republika,CZ
2009,Hlavní město Praha,117.60633036597429,132.98872180451127,Hlavni mesto Praha,Praha
2009,Středočeský kraj,125.0481695568401,134.1552511415525,Stredocesky kraj,Stredocesky
2009,Jihočeský kraj,117.69087523277467,130.29439696106363,Jihocesky kraj,Jihocesky
2009,Plzeňský kraj,119.59262851600388,126.60550458715598,Plzensky kraj,Plzensky
2009,Karlovarský kraj,128.77697841726618,131.69082125603865,Karlovarsky kraj,Karlovarsky
2009,Ústecký kraj,137.9962192816635,130.3501945525292,Ustecky kraj,Ustecky
2009,Liberecký kraj,123.71428571428571,140.4391582799634,Liberecky kraj,Liberecky
2009,Královéhradecký kraj,123.00556586270872,135.2355072463768,Kralovehradecky kraj,Kralovehradecky
2009,Pardubický kraj,124.83091787439612,132.17993079584778,Pardubicky kraj,Pardubicky
2009,Kraj Vysočina,111.97718631178707,137.09226467847157,Kraj Vysocina,Vysocina
2009,Jihomoravský kraj,121.19771863117872,136.96043165467626,Jihomoravsky kraj,Jihomoravsky
2009,Olomoucký kraj,134.2081447963801,142.27567067530066,Olomoucky kraj,Olomoucky
2009,Zlínský kraj,120.36503362151777,136.06411398040964,Zlinsky kraj,Zlinsky
2009,Moravskoslezský kraj,136.33720930232556,146.2154942119323,Moravskoslezsky kraj,Moravskoslezsky
2010,Česká republika,121.33333333333333,127.85977859778596,Ceska republika,CZ
2010,Hlavní město Praha,118.29871414441148,127.06766917293233,Hlavni mesto Praha,Praha
2010,Středočeský kraj,121.86897880539499,129.04109589041096,Stredocesky kraj,Stredocesky
2010,Jihočeský kraj,113.96648044692736,124.69135802469137,Jihocesky kraj,Jihocesky
2010,Plzeňský kraj,116.97381183317168,122.01834862385321,Plzensky kraj,Plzensky
2010,Karlovarský kraj,133.7230215827338,121.93236714975845,Karlovarsky kraj,Karlovarsky
2010,Ústecký kraj,133.648393194707,123.73540856031128,Ustecky kraj,Ustecky
2010,Liberecký kraj,120.85714285714286,121.31747483989021,Liberecky kraj,Liberecky
2010,Královéhradecký kraj,117.99628942486086,128.35144927536228,Kralovehradecky kraj,Kralovehradecky
2010,Pardubický kraj,123.09178743961353,123.0968858131488,Pardubicky kraj,Pardubicky
2010,Kraj Vysočina,110.83650190114068,130.38210624417522,Kraj Vysocina,Vysocina
2010,Jihomoravský kraj,122.52851711026616,134.80215827338128,Jihomoravsky kraj,Jihomoravsky
2010,Olomoucký kraj,130.58823529411765,131.63737280296024,Olomoucky kraj,Olomoucky
2010,Zlínský kraj,120.46109510086455,129.74176313446125,Zlinsky kraj,Zlinsky
2010,Moravskoslezský kraj,134.98062015503876,133.8379341050757,Moravskoslezsky kraj,Moravskoslezsky
2011,Česká republika,123.88133333333333,127.60405904059039,Ceska republika,CZ
2011,Hlavní město Praha,117.94381800197826,124.90751879699248,Hlavni mesto Praha,Praha
2011,Středočeský kraj,125.03757225433525,127.87972602739724,Stredocesky kraj,Stredocesky
2011,Jihočeský kraj,119.20893854748601,124.31728395061731,Jihocesky kraj,Jihocesky
2011,Plzeňský kraj,125.04500484966053,122.14036697247705,Plzensky kraj,Plzensky
2011,Karlovarský kraj,135.86258992805753,119.73758454106282,Karlovarsky kraj,Karlovarsky
2011,Ústecký kraj,135.5194706994329,131.90194552529184,Ustecky kraj,Ustecky
2011,Liberecký kraj,125.93314285714287,117.19268069533395,Liberecky kraj,Liberecky
2011,Královéhradecký kraj,121.89016697588127,133.7422101449275,Kralovehradecky kraj,Kralovehradecky
2011,Pardubický kraj,126.4152657004831,125.68192041522491,Pardubicky kraj,Pardubicky
2011,Kraj Vysočina,110.28231939163497,130.90363466915193,Kraj Vysocina,Vysocina
2011,Jihomoravský kraj,121.18070342205324,135.34136690647483,Jihomoravsky kraj,Jihomoravsky
2011,Olomoucký kraj,134.37529411764706,130.58427382053657,Olomoucky kraj,Olomoucky
2011,Zlínský kraj,122.87031700288185,130.2607301869991,Zlinsky kraj,Zlinsky
2011,Moravskoslezský kraj,140.7847868217054,135.31015138023153,Moravskoslezsky kraj,Moravskoslezsky
2012,Česká republika,123.63866666666668,126.06974169741696,Ceska republika,CZ
2012,Hlavní město Praha,120.90128585558854,124.01804511278195,Hlavni mesto Praha,Praha
2012,Středočeský kraj,123.94075144508669,127.87972602739724,Stredocesky kraj,Stredocesky
2012,Jihočeský kraj,120.91843575418993,122.94567901234569,Jihocesky kraj,Jihocesky
2012,Plzeňský kraj,119.7811833171678,121.2862385321101,Plzensky kraj,Plzensky
2012,Karlovarský kraj,134.79280575539565,118.76212560386475,Karlovarsky kraj,Karlovarsky
2012,Ústecký kraj,133.91568998109642,127.81867704280155,Ustecky kraj,Ustecky
2012,Liberecký kraj,121.824,115.2516010978957,Liberecky kraj,Liberecky
2012,Královéhradecký kraj,124.48608534322821,129.37826086956517,Kralovehradecky kraj,Kralovehradecky
2012,Pardubický kraj,125.67671497584541,123.21998269896193,Pardubicky kraj,Pardubicky
2012,Kraj Vysočina,109.39562737642585,129.3390493942218,Kraj Vysocina,Vysocina
2012,Jihomoravský kraj,123.26368821292775,134.39775179856116,Jihomoravsky kraj,Jihomoravsky
2012,Olomoucký kraj,135.02823529411765,126.37187789084183,Olomoucky kraj,Olomoucky
2012,Zlínský kraj,122.14755043227667,126.36847729296525,Zlinsky kraj,Zlinsky
2012,Moravskoslezský kraj,139.3,132.76723063223508,Moravskoslezsky kraj,Moravskoslezsky
2013,Česká republika,125.09466666666667,125.8140221402214,Ceska republika,CZ
2013,Hlavní město Praha,123.5038575667656,125.41578947368421,Hlavni mesto Praha,Praha
2013,Středočeský kraj,126.37813102119459,128.39589041095888,Stredocesky kraj,Stredocesky
2013,Jihočeský kraj,121.37430167597765,124.44197530864199,Jihocesky kraj,Jihocesky
2013,Plzeňský kraj,122.23763336566441,119.82201834862386,Plzensky kraj,Plzensky
2013,Karlovarský kraj,139.87428057553953,113.51903381642512,Karlovarsky kraj,Karlovarsky
2013,Ústecký kraj,133.91568998109642,115.69260700389106,Ustecky kraj,Ustecky
2013,Liberecký kraj,122.67,115.61555352241537,Liberecky kraj,Liberecky
2013,Královéhradecký kraj,123.89610389610391,130.40507246376808,Kralovehradecky kraj,Kralovehradecky
2013,Pardubický kraj,126.90763285024154,120.63494809688582,Pardubicky kraj,Pardubicky
2013,Kraj Vysočina,109.8389733840304,128.29599254426842,Kraj Vysocina,Vysocina
2013,Jihomoravský kraj,127.06207224334601,136.28498201438848,Jihomoravsky kraj,Jihomoravsky
2013,Olomoucký kraj,130.84941176470588,128.0831637372803,Olomoucky kraj,Olomoucky
2013,Zlínský kraj,122.62939481268012,126.49821905609971,Zlinsky kraj,Zlinsky
2013,Moravskoslezský kraj,140.1098837209302,128.2167408726625,Moravskoslezsky kraj,Moravskoslezsky
2014,Česká republika,127.15733333333334,128.37121771217713,Ceska republika,CZ
2014,Hlavní město Praha,126.93452027695352,128.33834586466165,Hlavni mesto Praha,Praha
2014,Středočeský kraj,126.98747591522157,131.23479452054795,Stredocesky kraj,Stredocesky
2014,Jihočeský kraj,119.77877094972065,125.9382716049383,Jihocesky kraj,Jihocesky
2014,Plzeňský kraj,122.35460717749757,124.09266055045872,Plzensky kraj,Plzensky
2014,Karlovarský kraj,137.86843525179853,116.44541062801933,Karlovarsky kraj,Karlovarsky
2014,Ústecký kraj,139.12797731568998,112.22801556420234,Ustecky kraj,Ustecky
2014,Liberecký kraj,126.054,115.2516010978957,Liberecky kraj,Liberecky
2014,Královéhradecký kraj,124.48608534322821,132.84374999999997,Kralovehradecky kraj,Kralovehradecky
2014,Pardubický kraj,128.3847342995169,122.85069204152249,Pardubicky kraj,Pardubicky
2014,Kraj Vysočina,114.38326996197718,133.77204100652375,Kraj Vysocina,Vysocina
2014,Jihomoravský kraj,129.75769961977187,141.67706834532373,Jihomoravsky kraj,Jihomoravsky
2014,Olomoucký kraj,132.80823529411765,131.76901017576319,Olomoucky kraj,Olomoucky
2014,Zlínský kraj,125.15907780979828,127.79563668744433,Zlinsky kraj,Zlinsky
2014,Moravskoslezský kraj,142.1345930232558,127.54755120213713,Moravskoslezsky kraj,Moravskoslezsky
