region,regions_base,name_base
Česká republika,Ceska republika,CZ
Hlavní město Praha,Hlavni mesto Praha,Praha
Středočeský kraj,Stredocesky kraj,Stredocesky
Jihočeský kraj,Jihocesky kraj,Jihocesky
Plzeňský kraj,Plzensky kraj,Plzensky
Karlovarský kraj,Karlovarsky kraj,Karlovarsky
Ústecký kraj,Ustecky kraj,Ustecky
Liberecký kraj,Liberecky kraj,Liberecky
Královéhradecký kraj,Kralovehradecky kraj,Kralovehradecky
Pardubický kraj,Pardubicky kraj,Pardubicky
Kraj Vysočina,Kraj Vysocina,Vysocina
Jihomoravský kraj,Jihomoravsky kraj,Jihomoravsky
Olomoucký kraj,Olomoucky kraj,Olomoucky
Zlínský kraj,Zlinsky kraj,Zlinsky
Moravskoslezský kraj,Moravskoslezsky kraj,Moravskoslezsky
