name_base,year,avg_no_empl_adj,avg_month_wage_adj,region,regions_base
CZ,2006,100.0,100.0,Česká republika,Ceska republika
CZ,2007,101.74083204147502,107.2188683106518,Česká republika,Ceska republika
CZ,2008,102.59981193931229,115.58375115113067,Česká republika,Ceska republika
CZ,2009,96.97578083305802,119.43108564412155,Česká republika,Ceska republika
CZ,2010,96.21845536100028,122.09147651693442,Česká republika,Ceska republika
CZ,2011,95.89316119850568,125.1151130666121,Česká republika,Ceska republika
CZ,2012,95.93890569010648,128.24618847846108,Česká republika,Ceska republika
CZ,2013,94.98081272713411,128.0824721170572,Česká republika,Ceska republika
CZ,2014,96.02531195201911,131.83260002046455,Česká republika,Ceska republika
CZ,2015,98.01773869729853,136.04318019032027,Česká republika,Ceska republika
CZ,2016,99.766194820707,142.0444080630308,Česká republika,Ceska republika
CZ,2017,101.96701313883455,151.63418835700705,Česká republika,Ceska republika
CZ,2018,103.52675390942592,163.97602194097104,Česká republika,Ceska republika
CZ,2019,103.22337522441485,176.90324970388366,Česká republika,Ceska republika
CZ,2020,101.45588966168391,185.08301215183414,Česká republika,Ceska republika
CZ,2021,101.67670650330123,195.83071482650416,Česká republika,Ceska republika
CZ,2022,102.40073117305903,204.29910842880537,Česká republika,Ceska republika
CZ,2023,102.86525750747921,218.9752103296383,Česká republika,Ceska republika
CZ,2024,102.31585443895143,234.82355569378953,Česká republika,Ceska republika
Jihocesky,2006,100.0,100.0,Jihočeský kraj,Jihocesky kraj
Jihocesky,2007,100.39079461571862,106.36435065663936,Jihočeský kraj,Jihocesky kraj
Jihocesky,2008,100.04342162396873,113.73891570322145,Jihočeský kraj,Jihocesky kraj
Jihocesky,2009,95.31046461137646,117.32517678751823,Jihočeský kraj,Jihocesky kraj
Jihocesky,2010,94.18150238818932,120.47929060500617,Jihočeský kraj,Jihocesky kraj
Jihocesky,2011,94.57229700390795,122.11247053541364,Jihočeský kraj,Jihocesky kraj
Jihocesky,2012,93.00911854103342,125.16556291390728,Jihočeský kraj,Jihocesky kraj
Jihocesky,2013,91.83673469387755,125.31148277023235,Jihočeský kraj,Jihocesky kraj
Jihocesky,2014,93.31306990881458,129.27376809967447,Jihočeský kraj,Jihocesky kraj
